date,2016-04-01 00:00:00,2016-04-02 00:00:00,2016-04-03 00:00:00,2016-04-04 00:00:00,2016-04-05 00:00:00,2016-04-06 00:00:00,2016-04-07 00:00:00,2016-04-08 00:00:00,2016-04-09 00:00:00,2016-04-10 00:00:00,2016-04-11 00:00:00,2016-04-12 00:00:00,2016-04-13 00:00:00,2016-04-14 00:00:00,2016-04-15 00:00:00,2016-04-16 00:00:00,2016-04-17 00:00:00,2016-04-18 00:00:00,2016-04-19 00:00:00,2016-04-20 00:00:00,2016-04-21 00:00:00,2016-04-22 00:00:00,2016-04-23 00:00:00,2016-04-24 00:00:00,2016-04-25 00:00:00,2016-04-26 00:00:00,2016-04-27 00:00:00,2016-04-28 00:00:00,2016-04-29 00:00:00,2016-04-30 00:00:00,2016-05-01 00:00:00,2016-05-02 00:00:00,2016-05-03 00:00:00,2016-05-04 00:00:00,2016-05-05 00:00:00,2016-05-06 00:00:00,2016-05-07 00:00:00,2016-05-08 00:00:00,2016-05-09 00:00:00,2016-05-10 00:00:00,2016-05-11 00:00:00,2016-05-12 00:00:00,2016-05-13 00:00:00,2016-05-14 00:00:00,2016-05-15 00:00:00,2016-05-16 00:00:00,2016-05-17 00:00:00,2016-05-18 00:00:00,2016-05-19 00:00:00,2016-05-20 00:00:00
A011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A016,18720000,9120000,9060000,26520000,14880000,20220000,23640000,26100000,11040000,24300000,14640000,17700000,10680000,28560000,13200000,10020000,22620000,15300000,57600000,7320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A017,12060000,20040000,24600000,25140000,34560000,29820000,29280000,18360000,36240000,16080000,23160000,21960000,17520000,16620000,30300000,22920000,22620000,25620000,16440000,32340000,18420000,23520000,27000000,18240000,22560000,11460000,11820000,25980000,19380000,27720000,14220000,22260000,25740000,21180000,22800000,15360000,22860000,15480000,33840000,29820000,30000000,17760000,26340000,26040000,15660000,27180000,22920000,21480000,23040000,0
A018,21480000,12600000,29520000,28380000,15420000,14580000,13200000,27780000,35760000,23760000,24240000,26820000,27780000,15060000,31440000,29340000,32040000,29220000,27180000,15240000,6960000,3780000,49020000,21660000,25920000,26640000,26940000,36060000,18540000,34500000,19080000,36960000,19680000,29760000,24720000,27060000,26400000,22620000,21540000,20100000,37080000,41880000,22560000,23400000,18180000,23280000,0,0,0,0
A019,31680000,24480000,29220000,26160000,31320000,23040000,22680000,11460000,32040000,24120000,18060000,33240000,17700000,21540000,35820000,23880000,19500000,25740000,20100000,19260000,28680000,21420000,11640000,22080000,20640000,29580000,22200000,13320000,43560000,31860000,26160000,23220000,23760000,16740000,25140000,30600000,28620000,19080000,24180000,28080000,23100000,19200000,16680000,12960000,26700000,31440000,15300000,20760000,0,0
A020,8520000,23880000,22140000,31200000,16680000,10800000,33120000,20340000,42480000,21600000,20100000,25140000,22020000,20040000,26400000,26820000,30240000,7920000,25260000,34800000,23520000,33840000,42540000,13560000,13860000,20220000,20220000,27780000,40440000,3660000,19980000,34260000,29040000,12540000,25740000,32520000,26100000,16320000,6540000,10980000,0,0,0,0,0,0,0,0,0,0
A021,20520000,29100000,17820000,33360000,23280000,20400000,25200000,26820000,33240000,48720000,33480000,23400000,28260000,21960000,34260000,26280000,28740000,26820000,23640000,21060000,27360000,22140000,20940000,27840000,33780000,20460000,27360000,22500000,28740000,19680000,28200000,25920000,23100000,26100000,24960000,31740000,42840000,25500000,30600000,18660000,26940000,35400000,21660000,36060000,24240000,0,0,0,0,0
A022,24060000,28020000,30240000,23220000,17580000,23400000,31560000,33000000,22500000,27600000,25320000,32280000,19260000,28740000,27540000,23760000,36480000,26040000,26820000,28320000,29460000,32880000,33720000,24960000,4560000,21600000,24480000,29520000,21960000,27960000,30300000,24240000,28800000,27720000,33360000,23640000,24540000,25260000,20460000,19440000,26400000,22560000,23820000,16440000,17520000,25560000,33180000,36240000,0,0
A023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A024,3780000,16440000,27840000,27060000,28200000,26940000,32520000,33180000,12240000,21660000,28020000,19260000,22980000,21240000,28860000,22860000,21900000,30300000,24120000,24840000,21300000,32160000,23580000,5160000,20520000,25380000,30780000,29160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A025,24540000,9660000,27900000,24000000,16800000,21660000,21600000,24060000,12360000,26880000,21720000,6360000,23160000,18420000,20640000,14160000,29400000,20220000,30180000,15540000,10680000,21120000,22500000,23940000,29100000,18240000,5700000,33000000,5820000,20820000,4620000,29820000,6300000,28440000,12600000,33180000,5100000,4200000,8400000,23820000,28260000,28440000,15960000,7200000,0,0,0,0,0,0
A026,24780000,7740000,19440000,24600000,9720000,16980000,24660000,23460000,13800000,20940000,30240000,16800000,22740000,25020000,19560000,25560000,14340000,21180000,26160000,34380000,20700000,18720000,19680000,39840000,21120000,25440000,27300000,20820000,25380000,26340000,24720000,24300000,27660000,24360000,12540000,18840000,22980000,25080000,10080000,34560000,25500000,24600000,17880000,24720000,18600000,0,0,0,0,0
A027,33180000,31440000,34080000,14220000,25200000,26160000,29340000,32880000,21780000,30060000,25980000,38820000,27720000,36600000,22020000,26880000,23580000,20100000,24660000,42900000,31140000,27900000,25680000,26940000,10980000,31620000,23220000,30900000,34800000,27600000,28980000,51060000,35700000,30900000,30660000,34800000,24600000,21600000,25320000,27240000,39120000,24180000,29700000,15660000,31560000,25680000,32580000,0,0,0
A028,28860000,17580000,26100000,24120000,21900000,25980000,23160000,18600000,22860000,18900000,16380000,27120000,23400000,26880000,39660000,21960000,13080000,8280000,27300000,18060000,38880000,21000000,21060000,12540000,21420000,4800000,46200000,29340000,25980000,13380000,52380000,21060000,17520000,10440000,27240000,28680000,6360000,57000000,23400000,36240000,36060000,29460000,23280000,41100000,23460000,19800000,0,0,0,0
A029,26520000,24300000,17640000,14640000,28140000,16260000,19140000,24900000,29460000,15840000,26280000,25380000,24900000,11940000,26520000,18540000,15660000,27120000,8880000,32340000,25020000,28560000,15780000,15420000,23520000,22860000,28680000,14880000,22680000,22440000,22740000,26580000,15240000,14100000,24660000,24600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
