datetime,A01,A02,A03,A04,A05,A06,A07,A08,A09,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A025,A026,A027,A028,A029,A030,A031,A032,A033,A034,A035,A036,A037,A038,A039,A040,A041,A042,A043,A044,A045,A046,A047,A048,A049,A050,A051,A052,A053,A054,A055,A056,A057,A058,A059,A060,A061,A062,A063,A064,A065,A066,A067,A068,A069,A070,A071,A072,A073,A074,A075,A076,A077,A078,A079,A080,A081,A082,A083,A084,A085,A086,A087,A088,A089,A090,A091,A092,A093,A094,A095,A096,A097,A098
08:00:00,0,0,0,63,0,0,0,62,0,66,0,0,0,0,0,0,0,66,61,82,60,66,0,0,0,54,0,0,73,57,0,68,0,80,0,52,0,0,0,0,0,0,0,58,0,0,58,66,0,0,0,62,64,72,0,0,0,0,0,0,57,0,0,0,0,0,0,59,0,0,0,0,66,0,0,0,0,0,0,0,0,0,61,53,0,0,0,0,0,0,0,0,0,0,0,57,0,0
08:01:00,0,0,0,58,0,0,0,71,0,66,0,0,0,0,0,0,0,65,60,82,60,0,0,0,0,54,0,0,62,70,0,75,0,84,0,51,0,0,0,0,0,0,0,58,0,0,58,67,0,0,0,71,58,72,0,0,0,0,0,0,56,0,0,0,0,0,0,59,0,0,0,0,67,0,0,0,0,0,0,0,0,0,60,54,0,0,0,0,0,0,0,0,0,0,0,56,0,0
08:02:00,0,0,0,58,0,0,0,61,0,66,0,0,0,0,0,0,0,65,61,80,63,0,0,0,0,54,0,0,63,55,0,83,0,81,0,50,0,0,0,0,0,0,0,58,0,0,58,70,0,0,0,61,56,72,0,0,0,0,0,0,58,0,0,0,0,0,0,59,0,0,0,0,70,0,0,0,0,0,0,0,0,0,61,56,0,0,0,0,0,0,0,0,0,0,0,58,0,0
08:03:00,0,0,0,60,0,0,0,60,0,66,0,0,0,0,0,0,0,65,62,82,60,0,0,0,0,56,0,0,67,57,0,0,0,81,0,50,0,0,0,0,0,0,0,58,0,0,58,68,0,0,0,60,58,70,0,0,0,0,0,0,63,0,0,0,0,0,0,61,0,0,0,0,68,0,0,0,0,0,0,0,0,0,62,55,0,0,0,0,0,0,0,0,0,0,0,63,0,0
08:04:00,0,0,0,60,0,0,0,62,0,67,0,0,0,0,0,0,0,65,58,78,67,0,0,0,0,60,0,0,66,57,0,0,0,90,0,50,0,0,0,0,0,0,0,57,0,0,58,63,0,0,0,62,56,71,0,0,0,0,0,0,61,0,0,0,0,0,0,59,0,0,0,0,63,0,0,0,0,0,0,0,0,0,58,54,0,0,0,0,0,0,0,0,0,0,0,61,0,0
08:05:00,0,0,0,61,0,0,0,64,0,66,0,0,0,0,0,0,0,65,67,77,60,0,0,0,0,54,0,0,66,56,0,0,0,0,0,50,0,0,0,0,0,0,0,57,0,0,58,59,0,0,0,64,57,72,0,0,0,0,0,0,59,0,0,0,0,0,0,64,0,0,0,0,59,0,0,0,0,0,0,0,0,0,67,56,0,0,0,0,0,0,0,0,0,0,0,59,0,0
08:06:00,0,0,0,61,0,0,0,63,0,67,0,0,0,0,0,0,0,64,65,75,58,0,0,0,0,56,0,0,63,55,0,0,0,0,0,53,0,0,0,0,0,0,0,58,0,0,57,60,0,0,0,63,54,69,0,0,0,0,0,0,59,0,0,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,65,57,0,0,0,0,0,0,0,0,0,0,0,59,0,0
08:07:00,0,0,0,60,0,0,0,60,0,66,0,0,0,0,0,0,0,66,62,78,59,0,0,0,0,53,0,0,66,55,0,0,0,0,0,51,0,0,0,0,0,0,0,58,0,0,58,65,0,0,0,60,50,70,0,0,0,0,0,0,58,0,0,0,0,0,0,61,0,0,0,0,65,0,0,0,0,0,0,0,0,0,62,57,0,0,0,0,0,0,0,0,0,0,0,58,0,0
08:08:00,0,0,0,59,0,0,0,60,0,66,0,0,0,0,0,0,0,66,60,77,60,0,0,0,0,53,0,0,66,57,0,0,0,0,0,54,0,0,0,0,0,0,0,58,0,0,58,68,0,0,0,60,52,72,0,0,0,0,0,0,58,0,0,0,0,0,0,61,0,0,0,0,68,0,0,0,0,0,0,0,0,0,60,56,0,0,0,0,0,0,0,0,0,0,0,58,0,0
08:09:00,0,0,0,60,0,0,0,0,0,66,0,0,0,0,0,0,0,65,62,78,59,0,0,0,0,53,0,0,62,56,0,0,0,0,0,51,0,0,0,0,0,0,0,58,0,0,59,66,0,0,0,0,53,71,0,0,0,0,0,0,57,0,0,0,0,0,0,60,0,0,0,0,66,0,0,0,0,0,0,0,0,0,62,58,0,0,0,0,0,0,0,0,0,0,0,57,0,0
08:10:00,0,0,0,59,0,0,0,0,0,66,0,0,0,0,0,0,0,65,57,78,59,0,0,0,0,52,0,0,71,57,0,0,0,0,0,51,0,0,0,0,0,0,0,59,0,0,59,63,0,0,0,0,51,75,0,0,0,0,0,0,58,0,0,0,0,0,0,59,0,0,0,0,63,0,0,0,0,0,0,0,0,0,57,59,0,0,0,0,0,0,0,0,0,0,0,58,0,0
08:11:00,0,0,0,59,0,0,0,0,0,67,0,0,0,0,0,0,0,64,63,78,62,0,0,0,0,53,0,0,73,58,0,0,0,0,0,51,0,0,0,0,0,0,0,58,0,0,58,67,0,0,0,0,52,72,0,0,0,0,0,0,59,0,0,0,0,0,0,60,0,0,0,0,67,0,0,0,0,0,0,0,0,0,63,56,0,0,0,0,0,0,0,0,0,0,0,59,0,0
08:12:00,0,0,0,60,0,0,0,0,0,64,0,0,0,0,0,0,0,65,59,75,59,0,0,0,0,51,0,0,66,57,0,0,0,0,0,50,0,0,0,0,0,0,0,58,0,0,58,69,0,0,0,0,52,73,0,0,0,0,0,0,55,0,0,0,0,0,0,59,0,0,0,0,69,0,0,0,0,0,0,0,0,0,59,56,0,0,0,0,0,0,0,0,0,0,0,55,0,0
08:13:00,0,0,0,61,0,0,0,0,0,79,0,0,0,0,0,0,0,64,57,77,59,0,0,0,0,47,0,0,64,58,0,0,0,0,0,49,0,0,0,0,0,0,0,59,0,0,58,64,0,0,0,0,53,73,0,0,0,0,0,0,57,0,0,0,0,0,0,60,0,0,0,0,64,0,0,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,57,0,0
